# SHA-256 hashes of zig-webp decoded planes, one tab-separated row
# per file and plane kind. Regenerate with `zig build corpus-hashes`
# only after a corpus-wide oracle run confirms the decoded planes.
lossless_vec_2_13.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_14.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_15.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_2.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_3.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_4.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_5.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_6.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_7.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_8.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossless_vec_2_9.webp	rgba	def70892d49a5a536469ba5d70b333e326842124b601350a79b0f35c6883ff63
lossy_alpha1.webp	alpha	b0b74fc17c1d577b0a0bb909887faaa1d863e85e33d36e6f78dbba5f51cffbe0
lossy_alpha2.webp	alpha	8145c727662f59bf9351e41c80733494fddf7fd9b367261e6df2e906e7d636db
lossy_alpha3.webp	alpha	7f698efe28691a6b7324bdde24b260e819d861cd4b0beb73b6dd153dd39cc943
lossy_alpha4.webp	alpha	2073873f3d0b19cabbb62faf5515366d80e1975de97b202c1d00352c0930a93f
near_lossless_75.webp	rgba	2c9c017545b11f166facccb4b842d3df4eb3755d3a221926e74d296f6ab678bf
one_color_no_palette.webp	rgba	e7e2dcff542de95352682dc186432e98f0188084896773f1973276b0577d5305
